model,roc_auc,roc_auc_std,pr_auc,pr_auc_std,balanced_accuracy,balanced_accuracy_std,precision_positive,precision_positive_std,recall_positive,recall_positive_std,f1_positive,f1_positive_std,uci_total_cost,uci_total_cost_std,training_time_seconds,ranking_eligible,selected_final_model,evaluation_scope
Baseline XGBoost,0.7934151785714285,0.04784550181579349,0.6309555037589692,0.06513878459381002,0.6663690476190476,0.04045867968563436,0.6181954887218045,0.08578764686580252,0.4541666666666667,0.07126096406869614,0.5217517416116463,0.06889522818398863,144.6,17.79887636902959,0.0689557199832052,True,False,five-fold training cross-validation
CV-selected XGBoost,0.7985491071428571,0.04766462052664035,0.6319508400671479,0.07316601945245867,0.6782738095238094,0.03533090356329199,0.6399287808965228,0.06283140938857389,0.4708333333333333,0.07306532465312575,0.5402227620793021,0.059806686194089256,139.8,16.9617216107328,0.06965663998853415,True,False,five-fold training cross-validation
Weighted XGBoost,0.7988467261904763,0.04919155072161531,0.6290460975335883,0.0799701605733354,0.7306547619047619,0.06203768924308282,0.5709129869061957,0.07059704917609587,0.6791666666666667,0.1016359243137539,0.6197484084542908,0.08206078465458654,101.4,26.735743864721627,0.06756234001368285,True,True,five-fold training cross-validation
