case_type,case_count,mean_top_5_overlap_count,mean_top_5_jaccard,mean_direction_agreement_rate,mean_shap_features_for_50_percent,mean_shap_features_for_80_percent,mean_lime_features_for_50_percent,mean_lime_features_for_80_percent,dice_counterfactual_availability_rate,mean_dice_changed_actionable_features
high-confidence positive,5,3.6,0.5833333333333333,1.0,3.4,7.2,2.2,4.0,0.6,2.0
borderline positive,5,3.4,0.5666666666666667,0.95,3.6,7.8,2.6,4.0,1.0,1.8
high-confidence negative,5,3.8,0.619047619047619,1.0,3.0,5.6,2.0,4.0,0.0,
borderline negative,5,3.0,0.4603174603174603,1.0,3.0,7.0,2.2,4.0,0.8,2.0
