model,cv_roc_auc,test_roc_auc,test_pr_auc,accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,training_time_seconds
Baseline XGBoost,0.8040609541879833,0.8035614953797623,0.8083680630254162,0.7315096251266464,0.7301631041088088,0.7320261437908496,0.7633885102239533,0.7473784556720686,0.17777950002346188
CV-best XGBoost,0.8077374540009309,0.804964480669238,0.8109138152335886,0.7375886524822695,0.7361698758648487,0.7367441860465116,0.7711781888997079,0.7535680304471931,0.2623998000053689
